HHID,NWEIGHT,REGIONC,DIVISION,CORDONE,WOODAMT,CORDPLUS,NLPGDELV,KLPGSUPP,NLPGSUPP,NFODELV,NUMFOCO,NUMFOSUP,QUANTFO,BUYKERO,NUMKRDEL,TOTPAYKR,TOTDELKR,NUMKRGAL,TOTKRGAL,TOTKRUSE,GALLONKR,BTUKER,KWH,BTUEL,THERMNG,BTUNG,GALLONFO,BTUFO,THERMLP,BTULP,BTUELAPL,BTUELCOL,BTUELSPH,BTUELWTH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTUKRAPL,BTUKRSPH,BTUKRWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUNGAPL,BTUNGCOL,BTUNGSPH,BTUNGWTH
1001,6452,1,1,9,9,999,99,9,9,7,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,4302,14678,113,11300,915,126901,999999,9999999,14678,9999999,9999999,9999999,9999999,98938,27963,9999999,9999999,9999999,9999999,9999999,9999999,3031,9999999,8269,9999999
1002,6880,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2392,8160,1958,195842,999999,9999999,999999,9999999,8160,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,14677,9999999,134297,46868
1003,9379,1,1,9,9,999,98,8,9,98,8,9,8,9,9,9999,99,999,9999,9,999999,9999999,4098,13982,999999,9999999,1496,207480,50,5000,13982,9999999,9999999,9999999,9999999,182003,25477,9999999,9999999,9999999,5000,9999999,9999999,9999999,9999999,9999999,9999999
1004,8513,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2696,9200,1687,168729,999999,9999999,999999,9999999,9200,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,7824,9999999,136351,24553
1005,16905,1,2,9,9,999,2,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,23805,81223,999999,9999999,999999,9999999,20,2000,27986,9999999,41112,12125,9999999,9999999,9999999,9999999,9999999,9999999,2000,9999999,9999999,9999999,9999999,9999999,9999999
1006,9246,2,4,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,14956,51030,1175,117500,999999,9999999,999999,9999999,35602,15428,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6482,9999999,85961,25057
1007,18851,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,7932,27064,1400,140018,999999,9999999,999999,9999999,24996,9999999,2068,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,109001,31017
1008,9002,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2791,9523,905,90546,999999,9999999,999999,9999999,9523,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,7459,9999999,61932,21156
1009,29741,1,2,9,9,999,99,9,9,10,1,9,4,9,9,9999,99,999,9999,9,999999,9999999,8234,28094,999999,9999999,1126,156165,999999,9999999,25761,2333,9999999,9999999,9999999,126083,30082,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1010,9274,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,15762,53780,999999,9999999,999999,9999999,999999,9999999,13335,1015,31413,8017,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1011,22704,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2905,9912,999999,9999999,999999,9999999,999999,9999999,4431,2341,311,2828,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1012,6323,4,9,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8316,28374,999999,9999999,999999,9999999,999999,9999999,9598,9999999,13996,4780,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1013,18294,4,9,9,9,999,2,2,2,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5464,18643,872,87171,999999,9999999,999999,9999999,12239,4679,1725,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9615,9999999,41028,36529
1014,8376,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8284,28265,1237,123700,999999,9999999,999999,9999999,21637,6628,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,14420,9999999,83535,25745
1015,18411,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,10042,34263,1237,123700,999999,9999999,999999,9999999,25623,8640,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,23915,9999999,79078,20707
1016,13566,1,2,9,9,999,2,1,9,7,1,9,4,9,9,9999,99,999,9999,9,999999,9999999,6536,22301,999999,9999999,945,131062,22,2200,22301,9999999,9999999,9999999,9999999,88848,42214,9999999,9999999,9999999,2200,9999999,9999999,9999999,9999999,9999999,9999999
1017,9823,3,5,9,9,999,99,9,9,99,9,9,9,2,9,9999,20,5,9999,9,100,13500,9825,33523,999999,9999999,999999,9999999,999999,9999999,17607,4024,1292,10599,9999999,9999999,9999999,9999999,13500,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1018,13721,4,9,1,1,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5642,19251,413,41300,999999,9999999,999999,9999999,19251,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20666,20634
1019,15287,3,5,1,2,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,20300,69264,999999,9999999,999999,9999999,999999,9999999,28109,2181,22943,16031,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1020,21145,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4542,15497,857,85700,999999,9999999,999999,9999999,11486,4011,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,66437,19263
1021,17288,3,5,9,9,999,99,9,9,4,1,9,3,2,9,9999,12,5,9999,9,40,5387,7437,25373,999999,9999999,436,60481,999999,9999999,16126,9999999,9999999,9247,9999999,60481,9999999,9999999,5387,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1022,42086,3,5,9,9,999,94,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,15164,51740,999999,9999999,999999,9999999,999999,9999999,20544,19076,3688,8432,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1023,6880,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1370,4673,547,54689,999999,9999999,999999,9999999,4673,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,3705,9999999,39151,11833
1024,17728,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1413,4821,526,52600,999999,9999999,999999,9999999,4821,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,4527,9999999,30569,17505
1025,22798,3,5,9,9,999,7,1,9,98,8,9,8,9,9,9999,99,999,9999,9,999999,9999999,10041,34259,999999,9999999,271,37645,61,6100,16698,4857,9999999,12704,9999999,37645,9999999,9999999,9999999,9999999,6100,9999999,9999999,9999999,9999999,9999999,9999999
1026,3958,4,8,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4468,15245,696,69600,999999,9999999,999999,9999999,15245,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6587,9999999,39872,23141
1027,22306,1,2,1,2,999,98,8,9,5,1,9,4,9,9,9999,99,999,9999,9,999999,9999999,11821,40333,999999,9999999,1213,168231,999999,9999999,29420,10913,9999999,9999999,9999999,135368,32863,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1028,19020,2,3,9,9,999,98,8,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,7416,25304,1123,112340,999999,9999999,999999,9999999,25304,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,91863,20477
1029,4322,4,8,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5967,20359,999999,9999999,999999,9999999,999999,9999999,5432,1064,8055,5809,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1030,7063,1,1,9,9,999,6,1,9,9,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,4981,16995,999999,9999999,540,74893,70,7000,8680,9999999,9999999,8315,9999999,74893,9999999,9999999,9999999,9999999,7000,9999999,9999999,9999999,9999999,9999999,9999999
1031,18428,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,15251,52036,707,70700,999999,9999999,999999,9999999,52036,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,17153,9999999,23613,29933
1032,21545,2,3,9,9,999,99,9,9,3,1,9,2,9,9,9999,99,999,9999,9,999999,9999999,4984,17004,999999,9999999,646,89560,999999,9999999,11481,1006,9999999,4516,9999999,89560,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1033,22549,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,9663,32970,999999,9999999,999999,9999999,999999,9999999,15057,9999999,4866,13046,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
