HHID,NWEIGHT,REGIONC,DIVISION,YEARMADE,NROOMS,NCOMBATH,NHAFBATH,COOLHOME,TYPEHU,STORIES,CARHOME,GARHEAT,GARHETON,HOMEBASE,CELLAR,AREASHUT,AREAOPEN,CONCRETE,BASEHEAT,BLDGBASE,USEBASE,SPACEHOT,CHANGES,SAMEFEET,SAMEHEAT,WORKDONE,CHANGESM,CHANGESY,EXTENTB,COMPUTEB,BASISB,MEASBAH,MEASBAL,MEASBAW,MEASBBH,MEASBBL,MAESBBW,MEASBCH,MEASBCL,MEASBCW,MEASBDH,MEASBDL,MEASBDW,LINEARB,EXTENT1,COMPUTE1,BASIS1,MEAS1AH,MEAS1AL,MEAS1AW,MEAS1BH,MEAS1BL,MEAS1BW,MEAS1CH,MEAS1CL,MEAS1CW,MEAS1DH,MEAS1DL,MEAS1DW,LINEAR1,EXTENT2,COMPUTE2,BASIS2,MEAS2AH,MEAS2AL,MEAS2AW,MEAS2BH,MEAS2BL,MEAS2BW,MEAS2CH,MEAS2CL,MEAS2CW,MEAS2DH,MEAS2DL,MEAS2DW,LINEAR2,EXTENT3,COMPUTE3,BASIS3,MEAS3AH,MEAS3AL,MEAS3AW,MEAS3BH,MEAS3BL,MEAS3BW,MEAS3CH,MEAS3CL,MEAS3CW,MEAS3DH,MEAS3DL,MEAS3DW,LINEAR3,ESTHEAT,ESTUN,ESTHOME,COOLAREA,INSIDE,LINEARFL,HEATED,UNHEATED,HOMEAREA,SCALE,SOURCE
1001,6452,1,1,01,07,1,1,99,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,2,1,1,37,28,9,99,99,9,99,99,9,99,99,1,1,2,1,1,37,28,1,2,24,1,4,20,9,99,99,3,1,2,1,2,2,10,1,10,26,2,10,28,2,17,28,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,2460,776,3236,999,0
1002,6880,1,2,04,05,1,0,99,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,24,21,9,99,99,9,99,99,9,99,99,1,1,1,1,1,24,21,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,2,1104,0,1104,95,1
1003,9379,1,1,01,08,2,1,99,2,2,0,9,9,1,9,9,9,9,0,9,9,9,0,9,9,99,99,99,1,2,1,2,48,25,2,7,2,9,99,99,9,99,99,2,1,2,1,1,48,25,1,7,2,2,7,5,9,99,99,3,1,2,1,1,48,25,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,2414,1249,3663,999,0
1004,8513,1,2,01,04,1,0,99,3,9,9,9,9,9,9,9,9,9,9,0,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,5,1,1,60,25,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,05,1,1500,0,1500,999,2
1005,16905,1,2,07,07,2,0,99,2,4,1,0,9,1,9,9,9,9,0,9,9,9,0,9,9,99,99,99,1,5,1,2,24,20,9,99,99,9,99,99,9,99,99,1,1,5,1,1,24,24,9,99,99,9,99,99,9,99,99,1,1,5,1,1,24,20,9,99,99,9,99,99,9,99,99,1,1,5,1,1,28,24,9,99,99,9,99,99,9,99,99,1,99999,99999,9999,1,05,4,1728,480,2208,999,2
1006,9246,2,4,01,07,1,0,95,2,1,0,9,9,2,9,9,9,9,1,9,9,9,2,1,1,95,95,95,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,18,29,1,32,25,2,18,4,9,99,99,3,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,1,1322,72,1394,999,0
1007,18851,1,2,01,08,1,0,99,2,3,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,2,2,1,31,22,1,6,17,1,3,17,1,20,6,4,1,2,2,1,31,22,1,6,17,1,3,17,1,20,6,4,1,2,1,1,22,31,1,6,17,9,99,99,9,99,99,2,1,2,1,1,22,31,1,6,17,9,99,99,9,99,99,2,99999,99999,9999,0,02,4,3478,0,3478,999,0
1008,9002,3,5,02,03,1,0,99,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,24,17,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,443,0,443,87,1
1009,29741,1,2,03,08,2,0,03,2,2,0,9,9,2,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,47,25,9,99,99,9,99,99,9,99,99,1,1,2,1,1,27,25,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,2,1850,0,1850,999,0
1010,9274,3,5,02,06,1,0,01,2,1,0,9,9,3,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,36,36,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,1296,0,1296,999,0
